dataset,weighting,dim,modality,method,metric,mean,ci_low,ci_high,n,n_boot,seed,evaluation_seed
ml-1m,bm25,128,i2i,ivfflat,ndcg,0.057808261420944966,0.05324084426920755,0.062376145935883226,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfflat,precision,0.011153463705667882,0.010357971494862447,0.011949370235333111,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfflat,recall,0.11153463705667882,0.10357971494862446,0.11949370235333111,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfpq,ann_recall_vs_exact,0.882615180643023,0.88044373549884,0.8847199204507789,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfpq,hr,0.11037454424925422,0.10241962214119987,0.11832946635730858,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfpq,map,0.04121032403680729,0.037347744395515366,0.045156370843000775,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfpq,mrr,0.04121032403680729,0.037347744395515366,0.045156370843000775,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfpq,ndcg,0.057225436990356135,0.05267976866722819,0.06180872106216403,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfpq,precision,0.011037454424925423,0.01024196221411999,0.011832946635730859,6034,2000,42,42
ml-1m,bm25,128,i2i,ivfpq,recall,0.11037454424925422,0.10241962214119987,0.11832946635730858,6034,2000,42,42
ml-1m,bm25,128,u2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,6034,2000,42,42
ml-1m,bm25,128,u2i,flat,hr,0.0951276102088167,0.08816705336426914,0.10275107722903547,6034,2000,42,42
ml-1m,bm25,128,u2i,flat,map,0.03477674132297931,0.03126422494751961,0.038496038980170566,6034,2000,42,42
ml-1m,bm25,128,u2i,flat,mrr,0.03477674132297931,0.03126422494751961,0.038496038980170566,6034,2000,42,42
ml-1m,bm25,128,u2i,flat,ndcg,0.04876195909688952,0.04465548144384086,0.05317692543649033,6034,2000,42,42
ml-1m,bm25,128,u2i,flat,precision,0.009512761020881671,0.008816705336426915,0.010275107722903546,6034,2000,42,42
ml-1m,bm25,128,u2i,flat,recall,0.0951276102088167,0.08816705336426914,0.10275107722903547,6034,2000,42,42
ml-1m,bm25,128,u2i,flatpq,ann_recall_vs_exact,0.6182466025853497,0.6145007457739476,0.6220417633410672,6034,2000,42,42
