dataset,weighting,modality,method,metric,mean,ci_low,ci_high,n,n_boot
ml-1m,bm25,u2i,flatpq,precision,0.009011098227596489,0.00831497432499586,0.009690657611396388,6037,1000
ml-1m,bm25,u2i,flatpq,hr,0.09011098227596488,0.0831497432499586,0.09690657611396389,6037,1000
ml-1m,bm25,u2i,flatpq,ndcg,0.044180937775314864,0.040506409880752714,0.047968685501008676,6037,1000
ml-1m,bm25,u2i,flatpq,map,0.030416794844490717,0.02742341375012818,0.033699052601549706,6037,1000
ml-1m,bm25,u2i,flatpq,mrr,0.030416794844490717,0.02742341375012818,0.033699052601549706,6037,1000
ml-1m,bm25,u2i,flatpq,ann_recall_vs_exact,0.6168295511015406,0.6128375020705649,0.6205263375848931,6037,1000
ml-1m,bm25,u2i,hnsw,recall,0.09524598310419083,0.088454530395892,0.10220308100049694,6037,1000
ml-1m,bm25,u2i,hnsw,precision,0.009524598310419082,0.008845453039589201,0.010220308100049695,6037,1000
ml-1m,bm25,u2i,hnsw,hr,0.09524598310419083,0.088454530395892,0.10220308100049694,6037,1000
ml-1m,bm25,u2i,hnsw,ndcg,0.04889590536514545,0.04470194907331025,0.0530026215174081,6037,1000
ml-1m,bm25,u2i,hnsw,map,0.0349172825775443,0.03137194805314318,0.0384250248467782,6037,1000
ml-1m,bm25,u2i,hnsw,mrr,0.0349172825775443,0.03137194805314318,0.0384250248467782,6037,1000
ml-1m,bm25,u2i,hnsw,ann_recall_vs_exact,0.9993042902103693,0.9990723869471592,0.9995361934735796,6037,1000
ml-1m,bm25,u2i,ivfflat,recall,0.09524598310419083,0.088454530395892,0.10220308100049694,6037,1000
ml-1m,bm25,u2i,ivfflat,precision,0.009524598310419082,0.008845453039589201,0.010220308100049695,6037,1000
ml-1m,bm25,u2i,ivfflat,hr,0.09524598310419083,0.088454530395892,0.10220308100049694,6037,1000
ml-1m,bm25,u2i,ivfflat,ndcg,0.04889969430895441,0.04470194907331025,0.05300271624100333,6037,1000
ml-1m,bm25,u2i,ivfflat,map,0.03492122651059209,0.03137204665146938,0.03842926457480457,6037,1000
ml-1m,bm25,u2i,ivfflat,mrr,0.03492122651059209,0.03137204665146938,0.03842926457480457,6037,1000
