dataset,weighting,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n
ml-20m,bm25,u2i,ivfflat,flat,hr,-0.00010000000000000286,-0.0019244082335703923,negligible,-4.549999999998999e-05,negligible,10000
ml-20m,bm25,u2i,ivfflat,flat,ndcg,-8.397325981514964e-05,-0.004608921481891488,negligible,-7.700000000000762e-05,negligible,10000
ml-20m,bm25,u2i,ivfflat,flat,map,-7.107142857142729e-05,-0.00746632121800615,negligible,-7.700000000000762e-05,negligible,10000
ml-20m,bm25,u2i,ivfflat,flat,mrr,-7.107142857142729e-05,-0.00746632121800615,negligible,-7.700000000000762e-05,negligible,10000
ml-20m,bm25,u2i,ivfpq,flat,recall,-0.00020000000000000573,-0.00105404043302229,negligible,-0.00014699999999999436,negligible,10000
ml-20m,bm25,u2i,ivfpq,flat,precision,-1.9999999999999185e-05,-0.0010540404330222884,negligible,-0.00014699999999999436,negligible,10000
ml-20m,bm25,u2i,ivfpq,flat,hr,-0.00020000000000000573,-0.00105404043302229,negligible,-0.00014699999999999436,negligible,10000
ml-20m,bm25,u2i,ivfpq,flat,ndcg,-0.00011844715934992284,-0.0012845599369171279,negligible,-0.0002884999999999971,negligible,10000
ml-20m,bm25,u2i,ivfpq,flat,map,-2.1865079365079865e-05,-0.0002579463067236727,negligible,-0.0002884999999999971,negligible,10000
ml-20m,bm25,u2i,ivfpq,flat,mrr,-2.1865079365079865e-05,-0.0002579463067236727,negligible,-0.0002884999999999971,negligible,10000
