dataset,weighting,dim,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n,seed,evaluation_seed
ml-1m,bm25,128,i2i,ivfflat,flat,mrr,-0.0002624019445365139,-0.01781927128165287,negligible,-0.0012805000000000039,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfflat,flat,ndcg,-0.0003494347218310906,-0.0204131009387289,negligible,-0.0012805000000000039,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfflat,flat,precision,-6.62910175671192e-05,-0.021025276228917953,negligible,-0.0013230000000000047,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfflat,flat,recall,-0.0006629101756712025,-0.021025276228917957,negligible,-0.0013230000000000047,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfpq,flat,hr,-0.0018230029830958033,-0.015182541353603324,negligible,-0.0024565000000000003,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfpq,flat,map,-0.0007330813222427429,-0.016694557981843924,negligible,-0.0022729999999999972,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfpq,flat,mrr,-0.0007330813222427429,-0.016694557981843924,negligible,-0.0022729999999999972,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfpq,flat,ndcg,-0.0009322591524199217,-0.0189645684372366,negligible,-0.0022729999999999972,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfpq,flat,precision,-0.00018230029830957825,-0.015182541353603326,negligible,-0.0024565000000000003,negligible,6034,42,42
ml-1m,bm25,128,i2i,ivfpq,flat,recall,-0.0018230029830958033,-0.015182541353603324,negligible,-0.0024565000000000003,negligible,6034,42,42
ml-1m,bm25,128,u2i,flatpq,flat,hr,-0.005469008949287368,-0.026822214306866664,negligible,-0.005713999999999997,negligible,6034,42,42
ml-1m,bm25,128,u2i,flatpq,flat,map,-0.004776307274649998,-0.048221136853886154,negligible,-0.006343000000000001,negligible,6034,42,42
ml-1m,bm25,128,u2i,flatpq,flat,mrr,-0.004776307274649998,-0.048221136853886154,negligible,-0.006343000000000001,negligible,6034,42,42
ml-1m,bm25,128,u2i,flatpq,flat,ndcg,-0.005049500145816274,-0.04890180113374661,negligible,-0.006343000000000001,negligible,6034,42,42
ml-1m,bm25,128,u2i,flatpq,flat,precision,-0.0005469008949287382,-0.026822214306866668,negligible,-0.005713999999999997,negligible,6034,42,42
ml-1m,bm25,128,u2i,flatpq,flat,recall,-0.005469008949287368,-0.026822214306866664,negligible,-0.005713999999999997,negligible,6034,42,42
ml-1m,bm25,128,u2i,hnsw,flat,hr,0.0,0.0,negligible,-0.0004175000000000012,negligible,6034,42,42
ml-1m,bm25,128,u2i,hnsw,flat,map,0.0,0.0,negligible,-0.0003979999999999956,negligible,6034,42,42
ml-1m,bm25,128,u2i,hnsw,flat,mrr,0.0,0.0,negligible,-0.0003979999999999956,negligible,6034,42,42
ml-1m,bm25,128,u2i,hnsw,flat,ndcg,0.0,0.0,negligible,-0.0003979999999999956,negligible,6034,42,42
ml-1m,bm25,128,u2i,hnsw,flat,precision,0.0,0.0,negligible,-0.0004175000000000012,negligible,6034,42,42
ml-1m,bm25,128,u2i,hnsw,flat,recall,0.0,0.0,negligible,-0.0004175000000000012,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfflat,flat,hr,0.0,0.0,negligible,-0.0004175000000000012,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfflat,flat,map,0.0,0.0,negligible,-0.0003979999999999956,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfflat,flat,mrr,0.0,0.0,negligible,-0.0003979999999999956,negligible,6034,42,42
