dataset,weighting,modality,method,metric,k,decile,group,value,fairness_scope,notes
ml-1m,bm25,i2i,flat,long_tail_uplift,10,,,0.01121156519289427,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,gini_exposure,10,,,0.6776327094343819,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,gini_exposure,100,,,0.527466958754817,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,coverage,10,,,0.7970563260684971,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,coverage,100,,,0.9949051797339372,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_decile,10,0.0,,0.006774888189498095,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_decile,10,1.0,,0.007835017392744741,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_decile,10,2.0,,0.021616697034951133,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_decile,10,3.0,,0.03259897299983436,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_decile,10,4.0,,0.04459168461156204,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_decile,10,5.0,,0.07361272155043896,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_decile,10,6.0,,0.09725028987907901,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_decile,10,7.0,,0.1268842140135829,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_decile,10,8.0,,0.17535199602451548,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_decile,10,9.0,,0.41348351830379326,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_group,10,,head,0.41348351830379326,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_group,10,,mid,0.5706642372039092,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,exposure_share_group,10,,tail,0.0158522444922975,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flat,user_popularity_calibration_error,10,,,0.9119637245461905,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
ml-1m,bm25,i2i,flatpq,long_tail_exposure,10,,,0.01979459996687096,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,long_tail_exposure,100,,,0.046976975318866986,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,long_tail_uplift,10,,,0.014292565689829832,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,gini_exposure,10,,,0.6789588273952291,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,gini_exposure,100,,,0.5219758784410936,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,coverage,10,,,0.8063968298896123,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,coverage,100,,,0.9940560430229267,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,exposure_share_decile,10,0.0,,0.008365081994368063,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,exposure_share_decile,10,1.0,,0.008911711114792116,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,exposure_share_decile,10,2.0,,0.02612224614874938,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,exposure_share_decile,10,3.0,,0.03478548948153056,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,exposure_share_decile,10,4.0,,0.04447573297995693,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,exposure_share_decile,10,5.0,,0.0709955275799238,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,exposure_share_decile,10,6.0,,0.0966705317210535,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,exposure_share_decile,10,7.0,,0.12632102037435813,long_tail_exposure_proxy_only,
ml-1m,bm25,i2i,flatpq,exposure_share_decile,10,8.0,,0.17306609243001492,long_tail_exposure_proxy_only,
