dataset,weighting,dim,modality,method,target_recall,target_reached,param_name,selected_param_value,calibrated_param_value,achieved_recall_vs_exact,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,topk,n_calibration_queries,query_source,query_fingerprint,calibration_fingerprint,seed,run_id,config_hash,code_commit,created_at_utc
ml-20m,bm25,128,i2i,ivfflat,0.95,True,nprobe,16,16,0.95033,0.05842860001757799,0.04850000004807953,0.11759499975596546,0.14859500024613218,100,1000,shared_modality_query_cache,ad47fb948519416b,62e499b02b0b21a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,i2i,ivfflat,0.98,True,nprobe,32,32,0.98714,0.10101339999164338,0.07705000007263152,0.22882499965817257,0.3155079996395215,100,1000,shared_modality_query_cache,ad47fb948519416b,62e499b02b0b21a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,i2i,ivfpq,0.9,False,nprobe,128,128,0.88259,0.7544758000149159,0.8690999998179905,1.093665000007604,1.2281429999347893,100,1000,shared_modality_query_cache,ad47fb948519416b,62e499b02b0b21a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,i2i,ivfpq,0.95,False,nprobe,128,128,0.88259,0.5551488000237441,0.33495000025141053,1.0166499997467324,1.2471069999992324,100,1000,shared_modality_query_cache,ad47fb948519416b,62e499b02b0b21a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,i2i,ivfpq,0.98,False,nprobe,128,128,0.88259,0.5967136000326718,0.5512999996426515,1.0458099996867527,1.2458210002569103,100,1000,shared_modality_query_cache,ad47fb948519416b,62e499b02b0b21a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,u2i,hnsw,0.9,True,ef,64,64,0.97967,0.06375900002421986,0.051950000397482654,0.13839999987794718,0.20108200073991603,100,1000,shared_modality_query_cache,a28bf676ab8a3509,d0c2fece682790a7,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,u2i,hnsw,0.95,True,ef,64,64,0.97967,0.05555960001402127,0.05030000011174707,0.08925499982979085,0.11862300084430896,100,1000,shared_modality_query_cache,a28bf676ab8a3509,d0c2fece682790a7,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,u2i,hnsw,0.98,True,ef,128,128,0.99802,0.15071179998449225,0.1065500000549946,0.30729000022802183,0.38271200033705083,100,1000,shared_modality_query_cache,a28bf676ab8a3509,d0c2fece682790a7,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,u2i,ivfflat,0.9,True,nprobe,32,32,0.9731,0.11700300001211872,0.10204999989582575,0.23145000054682874,0.3159479999612812,100,1000,shared_modality_query_cache,a28bf676ab8a3509,eebacaa9142bd211,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
ml-20m,bm25,128,u2i,ivfflat,0.95,True,nprobe,32,32,0.9731,0.11176639998848259,0.08704999982001027,0.2697199994145192,0.4398649996346645,100,1000,shared_modality_query_cache,a28bf676ab8a3509,eebacaa9142bd211,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
